year,value,metric,iso_code
2013,41.3,Seconday Education rate (25 and older),THA
2013,33.3,Seconday Education rate (25 and older),TGO
2013,90.1,Seconday Education rate (25 and older),TON
2013,67.2,Seconday Education rate (25 and older),TTO
2013,41.0,Seconday Education rate (25 and older),TUN
2013,50.9,Seconday Education rate (25 and older),TUR
2013,30.3,Seconday Education rate (25 and older),UGA
2013,94.7,Seconday Education rate (25 and older),UKR
2013,66.9,Seconday Education rate (25 and older),ARE
2013,83.0,Seconday Education rate (25 and older),GBR
2013,95.2,Seconday Education rate (25 and older),USA
2013,52.3,Seconday Education rate (25 and older),URY
2013,99.9,Seconday Education rate (25 and older),UZB
2013,66.9,Seconday Education rate (25 and older),VEN
2013,70.9,Seconday Education rate (25 and older),VNM
2013,22.7,Seconday Education rate (25 and older),YEM
2013,37.7,Seconday Education rate (25 and older),ZMB
2013,56.5,Seconday Education rate (25 and older),ZWE
2014,22.2,Seconday Education rate (25 and older),AFG
2014,91.2,Seconday Education rate (25 and older),ALB
2014,34.9,Seconday Education rate (25 and older),DZA
2014,72.8,Seconday Education rate (25 and older),AND
2014,28.9,Seconday Education rate (25 and older),AGO
2014,54.4,Seconday Education rate (25 and older),ARG
2014,98.3,Seconday Education rate (25 and older),ARM
2014,91.5,Seconday Education rate (25 and older),AUS
2014,98.9,Seconday Education rate (25 and older),AUT
2014,95.6,Seconday Education rate (25 and older),AZE
2014,87.6,Seconday Education rate (25 and older),BHS
2014,64.9,Seconday Education rate (25 and older),BHR
2014,34.9,Seconday Education rate (25 and older),BGD
2014,91.8,Seconday Education rate (25 and older),BRB
2014,89.3,Seconday Education rate (25 and older),BLR
2014,82.3,Seconday Education rate (25 and older),BEL
2014,77.6,Seconday Education rate (25 and older),BLZ
2014,23.3,Seconday Education rate (25 and older),BEN
2014,15.6,Seconday Education rate (25 and older),BTN
2014,52.9,Seconday Education rate (25 and older),BOL
2014,78.0,Seconday Education rate (25 and older),BIH
2014,85.9,Seconday Education rate (25 and older),BWA
2014,56.3,Seconday Education rate (25 and older),BRA
2014,68.6,Seconday Education rate (25 and older),BRN
2014,94.2,Seconday Education rate (25 and older),BGR
2014,8.5,Seconday Education rate (25 and older),BFA
2014,8.3,Seconday Education rate (25 and older),BDI
2014,18.9,Seconday Education rate (25 and older),KHM
2014,31.8,Seconday Education rate (25 and older),CMR
2014,100.0,Seconday Education rate (25 and older),CAN
2014,20.9,Seconday Education rate (25 and older),CAF
2014,78.0,Seconday Education rate (25 and older),CHL
2014,75.0,Seconday Education rate (25 and older),CHN
2014,49.4,Seconday Education rate (25 and older),COL
2014,47.4,Seconday Education rate (25 and older),COG
2014,45.1,Seconday Education rate (25 and older),COD
2014,54.2,Seconday Education rate (25 and older),CRI
2014,93.9,Seconday Education rate (25 and older),HRV
2014,84.8,Seconday Education rate (25 and older),CUB
2014,79.0,Seconday Education rate (25 and older),CYP
2014,99.8,Seconday Education rate (25 and older),CZE
2014,24.2,Seconday Education rate (25 and older),CIV
2014,89.5,Seconday Education rate (25 and older),DNK
2014,56.4,Seconday Education rate (25 and older),DOM
2014,48.8,Seconday Education rate (25 and older),ECU
2014,65.2,Seconday Education rate (25 and older),EGY
2014,41.0,Seconday Education rate (25 and older),SLV
2014,100.0,Seconday Education rate (25 and older),EST
2014,28.8,Seconday Education rate (25 and older),SWZ
2014,14.9,Seconday Education rate (25 and older),ETH
2014,72.9,Seconday Education rate (25 and older),FJI
2014,100.0,Seconday Education rate (25 and older),FIN
2014,82.5,Seconday Education rate (25 and older),FRA
2014,54.1,Seconday Education rate (25 and older),GAB
2014,31.9,Seconday Education rate (25 and older),GMB
2014,96.7,Seconday Education rate (25 and older),GEO
2014,96.7,Seconday Education rate (25 and older),DEU
2014,59.8,Seconday Education rate (25 and older),GHA
2014,67.5,Seconday Education rate (25 and older),GRC
2014,36.8,Seconday Education rate (25 and older),GTM
2014,10.6,Seconday Education rate (25 and older),GIN
2014,60.9,Seconday Education rate (25 and older),GUY
2014,32.0,Seconday Education rate (25 and older),HTI
2014,32.3,Seconday Education rate (25 and older),HND
2014,77.4,Seconday Education rate (25 and older),HKG
2014,96.6,Seconday Education rate (25 and older),HUN
2014,98.4,Seconday Education rate (25 and older),ISL
2014,38.5,Seconday Education rate (25 and older),IND
2014,47.3,Seconday Education rate (25 and older),IDN
2014,68.5,Seconday Education rate (25 and older),IRN
2014,45.6,Seconday Education rate (25 and older),IRQ
2014,85.5,Seconday Education rate (25 and older),IRL
2014,88.8,Seconday Education rate (25 and older),ISR
2014,77.6,Seconday Education rate (25 and older),ITA
2014,63.4,Seconday Education rate (25 and older),JAM
2014,91.8,Seconday Education rate (25 and older),JPN
2014,81.3,Seconday Education rate (25 and older),JOR
2014,100.0,Seconday Education rate (25 and older),KAZ
2014,32.0,Seconday Education rate (25 and older),KEN
2014,85.2,Seconday Education rate (25 and older),KOR
2014,57.4,Seconday Education rate (25 and older),KWT
2014,98.1,Seconday Education rate (25 and older),KGZ
2014,36.4,Seconday Education rate (25 and older),LAO
2014,99.4,Seconday Education rate (25 and older),LVA
2014,54.1,Seconday Education rate (25 and older),LBN
2014,20.4,Seconday Education rate (25 and older),LSO
2014,28.3,Seconday Education rate (25 and older),LBR
2014,55.1,Seconday Education rate (25 and older),LBY
2014,93.1,Seconday Education rate (25 and older),LTU
2014,100.0,Seconday Education rate (25 and older),LUX
2014,19.6,Seconday Education rate (25 and older),MWI
2014,72.2,Seconday Education rate (25 and older),MYS
2014,39.1,Seconday Education rate (25 and older),MDV
2014,11.4,Seconday Education rate (25 and older),MLI
2014,76.9,Seconday Education rate (25 and older),MLT
2014,92.1,Seconday Education rate (25 and older),MHL
2014,17.3,Seconday Education rate (25 and older),MRT
2014,60.4,Seconday Education rate (25 and older),MUS
2014,57.4,Seconday Education rate (25 and older),MEX
2014,96.2,Seconday Education rate (25 and older),MDA
2014,87.8,Seconday Education rate (25 and older),MNG
2014,90.7,Seconday Education rate (25 and older),MNE
2014,29.4,Seconday Education rate (25 and older),MAR
2014,15.6,Seconday Education rate (25 and older),MOZ
2014,23.8,Seconday Education rate (25 and older),MMR
2014,38.5,Seconday Education rate (25 and older),NAM
2014,32.0,Seconday Education rate (25 and older),NPL
2014,88.2,Seconday Education rate (25 and older),NLD
2014,98.7,Seconday Education rate (25 and older),NZL
2014,45.0,Seconday Education rate (25 and older),NIC
2014,6.1,Seconday Education rate (25 and older),NER
2014,95.3,Seconday Education rate (25 and older),NOR
2014,58.8,Seconday Education rate (25 and older),OMN
2014,37.3,Seconday Education rate (25 and older),PAK
2014,58.8,Seconday Education rate (25 and older),PSE
2014,68.6,Seconday Education rate (25 and older),PAN
2014,11.7,Seconday Education rate (25 and older),PNG
2014,46.6,Seconday Education rate (25 and older),PRY
2014,61.5,Seconday Education rate (25 and older),PER
2014,71.6,Seconday Education rate (25 and older),PHL
2014,83.9,Seconday Education rate (25 and older),POL
2014,51.4,Seconday Education rate (25 and older),PRT
2014,68.4,Seconday Education rate (25 and older),QAT
2014,89.1,Seconday Education rate (25 and older),ROU
2014,94.6,Seconday Education rate (25 and older),RUS
2014,11.5,Seconday Education rate (25 and older),RWA
2014,45.2,Seconday Education rate (25 and older),LCA
2014,74.5,Seconday Education rate (25 and older),WSM
2014,37.7,Seconday Education rate (25 and older),STP
2014,66.6,Seconday Education rate (25 and older),SAU
2014,14.9,Seconday Education rate (25 and older),SEN
2014,86.7,Seconday Education rate (25 and older),SRB
2014,23.1,Seconday Education rate (25 and older),SLE
2014,78.6,Seconday Education rate (25 and older),SGP
2014,99.3,Seconday Education rate (25 and older),SVK
2014,97.6,Seconday Education rate (25 and older),SVN
2014,74.9,Seconday Education rate (25 and older),ZAF
2014,73.7,Seconday Education rate (25 and older),ESP
2014,80.5,Seconday Education rate (25 and older),LKA
2014,16.3,Seconday Education rate (25 and older),SDN
2014,57.6,Seconday Education rate (25 and older),SUR
2014,88.0,Seconday Education rate (25 and older),SWE
2014,96.7,Seconday Education rate (25 and older),CHE
2014,38.9,Seconday Education rate (25 and older),SYR
2014,93.6,Seconday Education rate (25 and older),TJK
2014,12.6,Seconday Education rate (25 and older),TZA
2014,43.3,Seconday Education rate (25 and older),THA
2014,35.5,Seconday Education rate (25 and older),TGO
2014,91.2,Seconday Education rate (25 and older),TON
2014,69.8,Seconday Education rate (25 and older),TTO
2014,42.2,Seconday Education rate (25 and older),TUN
2014,54.0,Seconday Education rate (25 and older),TUR
2014,30.8,Seconday Education rate (25 and older),UGA
2014,95.1,Seconday Education rate (25 and older),UKR
2014,67.7,Seconday Education rate (25 and older),ARE
2014,82.9,Seconday Education rate (25 and older),GBR
2014,95.3,Seconday Education rate (25 and older),USA
2014,53.4,Seconday Education rate (25 and older),URY
2014,99.9,Seconday Education rate (25 and older),UZB
2014,68.9,Seconday Education rate (25 and older),VEN
2014,71.7,Seconday Education rate (25 and older),VNM
2014,24.4,Seconday Education rate (25 and older),YEM
2014,39.0,Seconday Education rate (25 and older),ZMB
2014,58.7,Seconday Education rate (25 and older),ZWE
2015,22.2,Seconday Education rate (25 and older),AFG
2015,91.7,Seconday Education rate (25 and older),ALB
2015,34.9,Seconday Education rate (25 and older),DZA
2015,72.8,Seconday Education rate (25 and older),AND
2015,29.3,Seconday Education rate (25 and older),AGO
2015,54.6,Seconday Education rate (25 and older),ARG
2015,98.3,Seconday Education rate (25 and older),ARM
2015,90.0,Seconday Education rate (25 and older),AUS
2015,100.0,Seconday Education rate (25 and older),AUT
2015,95.6,Seconday Education rate (25 and older),AZE
2015,87.5,Seconday Education rate (25 and older),BHS
2015,67.4,Seconday Education rate (25 and older),BHR
2015,40.8,Seconday Education rate (25 and older),BGD
2015,92.6,Seconday Education rate (25 and older),BRB
2015,89.3,Seconday Education rate (25 and older),BLR
2015,84.4,Seconday Education rate (25 and older),BEL
2015,78.0,Seconday Education rate (25 and older),BLZ
2015,23.3,Seconday Education rate (25 and older),BEN
2015,18.6,Seconday Education rate (25 and older),BTN
2015,54.2,Seconday Education rate (25 and older),BOL
2015,79.9,Seconday Education rate (25 and older),BIH
2015,85.9,Seconday Education rate (25 and older),BWA
2015,57.5,Seconday Education rate (25 and older),BRA
2015,68.6,Seconday Education rate (25 and older),BRN
2015,94.8,Seconday Education rate (25 and older),BGR
2015,8.5,Seconday Education rate (25 and older),BFA
2015,8.7,Seconday Education rate (25 and older),BDI
2015,29.4,Seconday Education rate (25 and older),CPV
2015,19.6,Seconday Education rate (25 and older),KHM
2015,31.8,Seconday Education rate (25 and older),CMR
2015,100.0,Seconday Education rate (25 and older),CAN
2015,20.9,Seconday Education rate (25 and older),CAF
2015,5.8,Seconday Education rate (25 and older),TCD
2015,78.5,Seconday Education rate (25 and older),CHL
2015,75.0,Seconday Education rate (25 and older),CHN
2015,50.2,Seconday Education rate (25 and older),COL
2015,47.4,Seconday Education rate (25 and older),COG
2015,47.9,Seconday Education rate (25 and older),COD
2015,52.9,Seconday Education rate (25 and older),CRI
2015,95.5,Seconday Education rate (25 and older),HRV
2015,84.8,Seconday Education rate (25 and older),CUB
2015,78.6,Seconday Education rate (25 and older),CYP
2015,99.8,Seconday Education rate (25 and older),CZE
2015,24.9,Seconday Education rate (25 and older),CIV
2015,90.7,Seconday Education rate (25 and older),DNK
2015,56.6,Seconday Education rate (25 and older),DOM
2015,52.2,Seconday Education rate (25 and older),ECU
2015,67.8,Seconday Education rate (25 and older),EGY
2015,41.0,Seconday Education rate (25 and older),SLV
2015,100.0,Seconday Education rate (25 and older),EST
2015,28.8,Seconday Education rate (25 and older),SWZ
2015,15.8,Seconday Education rate (25 and older),ETH
2015,72.9,Seconday Education rate (25 and older),FJI
2015,100.0,Seconday Education rate (25 and older),FIN
2015,83.0,Seconday Education rate (25 and older),FRA
2015,54.1,Seconday Education rate (25 and older),GAB
2015,31.9,Seconday Education rate (25 and older),GMB
2015,96.7,Seconday Education rate (25 and older),GEO
2015,96.5,Seconday Education rate (25 and older),DEU
2015,59.8,Seconday Education rate (25 and older),GHA
2015,67.5,Seconday Education rate (25 and older),GRC
2015,36.8,Seconday Education rate (25 and older),GTM
2015,11.1,Seconday Education rate (25 and older),GIN
2015,60.9,Seconday Education rate (25 and older),GUY
2015,32.0,Seconday Education rate (25 and older),HTI
2015,32.3,Seconday Education rate (25 and older),HND
2015,78.4,Seconday Education rate (25 and older),HKG
2015,96.6,Seconday Education rate (25 and older),HUN
2015,99.2,Seconday Education rate (25 and older),ISL
2015,38.8,Seconday Education rate (25 and older),IND
2015,47.3,Seconday Education rate (25 and older),IDN
2015,69.2,Seconday Education rate (25 and older),IRN
2015,45.6,Seconday Education rate (25 and older),IRQ
2015,87.5,Seconday Education rate (25 and older),IRL
2015,89.1,Seconday Education rate (25 and older),ISR
2015,78.5,Seconday Education rate (25 and older),ITA
2015,65.2,Seconday Education rate (25 and older),JAM
2015,91.8,Seconday Education rate (25 and older),JPN
2015,81.3,Seconday Education rate (25 and older),JOR
2015,100.0,Seconday Education rate (25 and older),KAZ
2015,32.0,Seconday Education rate (25 and older),KEN
2015,85.7,Seconday Education rate (25 and older),KOR
2015,50.8,Seconday Education rate (25 and older),KWT
2015,98.7,Seconday Education rate (25 and older),KGZ
2015,36.4,Seconday Education rate (25 and older),LAO
2015,99.3,Seconday Education rate (25 and older),LVA
2015,54.1,Seconday Education rate (25 and older),LBN
2015,23.0,Seconday Education rate (25 and older),LSO
2015,28.3,Seconday Education rate (25 and older),LBR
