"Gross enrolment ratio, tertiary (% of tertiary school-age population)"
"Dimension: Education"
"SDG 4.3 By 2030, ensure equal access for all women and men to affordable and quality technical,vocational and tertiary education, including university"
"Definition: Total enrolment in a given level of education (pre-primary, primary, secondary or tertiary), regardless of age, expressed as a percentage of the official school-age population for the same level of education."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2014-2019",""
"168"," Senegal","..","","..","","..","","5","","8","","10","","10","","10","","11","","11","","11","","12","","13","","..","","13","a"
"64"," Serbia","..","","..","","..","","44","","49","","52","","54","","56","","58","","58","","62","","66","","67","","..","","67","a"
"67"," Seychelles","..","","..","","..","","..","","..","","3","","1","","3","","7","","14","","18","","20","","17","","..","","17","a"
"182"," Sierra Leone","1","","..","","2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","84","","85","","..","","..","","85","a"
"39"," Slovakia","..","","19","","28","","40","","57","","56","","56","","54","","53","","51","","48","","47","","..","","..","","47","a"
"22"," Slovenia","23","","30","","55","","79","","89","","86","","87","","85","","82","","80","","78","","79","","..","","..","","79","a"
"114"," South Africa","13","","..","","..","","..","","..","","..","","19","","20","","20","","..","","21","","22","","..","","..","","22","a"
"25"," Spain","36","","46","","58","","67","","76","","80","","82","","84","","85","","86","","87","","89","","..","","..","","89","a"
"72"," Sri Lanka","..","","..","","..","","..","","16","","15","","17","","19","","19","","20","","19","","19","","20","","..","","20","a"
"170"," Sudan","..","","..","","7","","12","","16","","16","","16","","18","","17","","17","","..","","..","","..","","..","","17","a"
"97"," Suriname","11","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"7"," Sweden","31","","42","","67","","82","","74","","73","","69","","63","","62","","62","","64","","67","","..","","..","","67","a"
"2"," Switzerland","26","","31","","38","","46","","53","","54","","56","","56","","57","","58","","58","","60","","..","","..","","60","a"
"151"," Syrian Arab Republic","18","","15","","..","","18","","26","","26","","31","","33","","42","","43","","40","","..","","..","","..","","40","a"
"125"," Tajikistan","22","","21","","18","","21","","23","","22","","23","","23","","25","","27","","29","","31","","..","","..","","31","a"
"163"," Tanzania (United Republic of)","..","","0","","1","","1","","2","","..","","4","","4","","..","","4","","..","","..","","..","","..","","4","a"
"79"," Thailand","16","","20","","35","","45","","50","","52","","51","","50","","50","","..","","49","","..","","..","","..","","49","a"
"141"," Timor-Leste","..","","..","","..","","..","","18","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"167"," Togo","2","","3","","..","","..","","9","","10","","11","","11","","10","","11","","12","","13","","15","","..","","15","a"
"104"," Tonga","..","","..","","5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"67"," Trinidad and Tobago","..","","..","","6","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"95"," Tunisia","8","","12","","19","","32","","35","","35","","36","","35","","35","","35","","33","","32","","32","","..","","32","a"
"54"," Turkey","13","","20","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Turkmenistan","12","","..","","..","","..","","..","","..","","..","","..","","8","","..","","..","","..","","..","","..","","8","a"
"159"," Uganda","1","","2","","3","","..","","4","","5","","4","","..","","5","","..","","..","","..","","..","","..","","5","a"
"74"," Ukraine","49","","42","","49","","70","","80","","82","","82","","80","","83","","..","","..","","..","","..","","..","","83","a"
"13"," United Kingdom","26","","48","","58","","59","","59","","59","","59","","57","","57","","56","","58","","60","","..","","..","","60","a"
"17"," United States","..","","..","","..","","81","","93","","94","","93","","89","","89","","89","","89","","88","","..","","..","","88","a"
"55"," Uruguay","30","","..","","34","","45","","51","","..","","..","","60","","61","","60","","63","","63","","..","","..","","63","a"
"106"," Uzbekistan","17","","..","","13","","10","","9","","9","","8","","8","","8","","8","","8","","9","","10","","..","","10","a"
"140"," Vanuatu","..","","..","","4","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","27","","..","","29","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Viet Nam","3","","3","","9","","16","","23","","25","","25","","25","","31","","29","","29","","..","","..","","..","","29","a"
"179"," Yemen","..","","..","","..","","10","","11","","10","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"146"," Zambia","2","","..","","..","","..","","..","","4","","4","","..","","..","","..","","..","","..","","..","","..","","..",""
"150"," Zimbabwe","5","","..","","..","","..","","7","","7","","7","","7","","..","","10","","..","","..","","..","","..","","10","a"
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"107"," Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"170"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134"," Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"92"," Lebanon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
